,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Proportion of Singles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Proportion Of Singles Among Resident Population By Selected Age Group And Sex, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 03/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1980 
45-49 Years,14.4,14.9,14.7,13.4,13,13.1,12.7,13.7,13.1,12.7,12.7,12.3,13,12.2,12.2,12.4,12.9,13.1,12.5,12.6,12,12,11.5,11.6,11.1,10.2,8.8,9.5,7.7,7.1,7.3,6.9,7.9,4.5,4.9,4.7,4.9,4.8,4.9,4.7,5.2
  Males,13.2,13,14.1,12.4,13.1,12,12.6,12.9,12.6,12.1,12.5,12.1,13.2,12.3,12.8,12.4,12.7,12.8,13.1,12.1,11.8,11.4,10.5,9.8,9.3,9,7.9,8.2,7.1,6.3,7.3,6.5,8.5,4.8,5.4,5.2,5.1,5.2,5.5,5.9,6.4
  Females,15.5,16.7,15.3,14.4,12.8,14.1,12.9,14.5,13.5,13.3,13,12.6,12.8,12.2,11.6,12.5,13.2,13.3,12,13,12.3,12.7,12.5,13.3,12.8,11.6,9.7,10.7,8.3,8,7.2,7.2,7.3,4.3,4.3,4.1,4.8,4.5,4.3,3.5,4.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1980, 1990, 2000, 2010 and 2020 are based on the Census of Population while data for 1995, 2005 and 2015 are based on the General Household Survey. Data for all other years are based on the Comprehensive June Labour Force Survey. Survey estimates are subject to sampling variability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Population:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident population comprises two groups of people. They are Singapore Citizens and Permanent Residents. The latter group refers to non-Citizens who have been granted permanent residence here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 08/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
